x [m],y [m],u [m/s],v [m/s],Vector type [-]
0.02647239529,0.04838907719,-0.01513830107,-0.005117646419,1
0.02647239529,0.050359115,-0.02728193998,-0.007257049903,1
0.02647239529,0.05232915282,-0.02858030424,-0.009012920782,1
0.02647239529,0.05429919064,-0.02436363697,-0.004700249527,1
0.02647239529,0.05626922846,-0.02305243537,-0.00524046924,1
0.02647239529,0.05823927,-0.02691666037,-0.003599050455,1
0.02647239529,0.06020930782,-0.0414994508,0.002451084089,1
0.02647239529,0.06217934564,-0.04575428739,0.0002243618219,1
0.02647239529,0.06414938718,-0.04274149612,-0.001180461142,1
0.02647239529,0.066119425,-0.03648409992,-0.007111010607,1
0.02647239529,0.06808946282,-0.04818508774,-0.009027200751,1
0.02647239529,0.07005950063,-0.05235820264,-0.01911447011,1
0.02647239529,0.07202953845,-0.04827768356,-0.01876809821,1
0.02647239529,0.07399957627,-0.03821735457,-0.01053187624,1
0.02647239529,0.07596961409,-0.03521291539,-0.006380991079,1
0.02647239529,0.07793965936,-0.04435002059,-0.006595721003,1
0.02647239529,0.07990969718,-0.05951747298,0.00360245863,1
0.02647239529,0.08187973499,-0.05834470317,0.008316934109,1
0.02647239529,0.08384977281,-0.06129556522,0.01686747931,1
0.02647239529,0.08581981063,-0.06496986747,0.01393525675,1
0.02647239529,0.08778984845,-0.06433477253,0.008042489178,1
0.02647239529,0.08975988626,-0.06052814797,0.008780079894,1
0.02647239529,0.09172992408,-0.05613858625,0.01045851596,1
0.02647239529,0.0936999619,-0.05164740235,0.007628810592,1
0.02647239529,0.09567000717,-0.04880326241,-0.002533223946,1
0.02647239529,0.09764004499,-0.0500831008,-0.0117332954,1
0.02647239529,0.09961008281,-0.04403104633,-0.009579238482,1
0.02647239529,0.1015801206,-0.03682644293,-0.006904138252,1
0.02647239529,0.1035501584,-0.04468263313,-0.004941621795,1
0.02647239529,0.1055201963,-0.0480273515,-0.0003891734814,1
0.02647239529,0.1074902341,-0.03743560612,0.00143479777,1
0.02647239529,0.1094602719,-0.02685575932,-0.002405654173,1
0.02647239529,0.1114303172,-0.01557836775,-0.003667674027,1
0.02647239529,0.113400355,-0.008509304374,-0.004290307872,1
0.02647239529,0.1153703928,-0.01040528715,-0.003783094697,2
0.02647239529,0.1173404306,-0.01140557975,-0.002786475001,1
0.0284424331,0.04838907719,-0.01174561959,-0.004898402374,1
0.0284424331,0.050359115,-0.01293529104,-0.007293074857,1
0.0284424331,0.05232915282,-0.02145873941,-0.008256868459,1
0.0284424331,0.05429919064,-0.01904388703,-0.002847982571,1
0.0284424331,0.05626922846,-0.02468623035,-0.004594690632,1
0.0284424331,0.05823927,-0.0312067531,-0.003491824027,1
0.0284424331,0.06020930782,-0.04778045043,0.007017054129,1
0.0284424331,0.06217934564,-0.05261245742,0.008357648738,1
0.0284424331,0.06414938718,-0.03287620097,-0.001540893572,1
0.0284424331,0.066119425,-0.03209592402,0.006097460166,1
0.0284424331,0.06808946282,-0.03398335353,0.003187579336,1
0.0284424331,0.07005950063,-0.04358653352,-0.0104037039,1
0.0284424331,0.07202953845,-0.04474055022,-0.01221285667,1
0.0284424331,0.07399957627,-0.04672321677,-0.008549494669,1
0.0284424331,0.07596961409,-0.04464721307,-0.005443655886,1
